Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii,Medio,Sports,Nintendo,Altissima,Altissima,Medio alto,Alta,Altissima
NES,Muito antigo,Platform,Nintendo,Altissima,Medio alto,Alta,Baixo,Altissima
Wii,Medio,Racing,Nintendo,Altissima,Alta,Medio alto,Medio alto,Altissima
Wii,Medio,Sports,Nintendo,Altissima,Alta,Medio alto,Medio alto,Altissima
GB,Muito antigo,Role-Playing,Nintendo,Alta,Alta,Alta,Baixo,Altissima
GB,Muito antigo,Puzzle,Nintendo,Altissima,Medio,Medio alto,Baixo,Altissima
DS,Medio,Platform,Nintendo,Alta,Alta,Alta,Medio alto,Altissima
Wii,Medio,Misc,Nintendo,Alta,Alta,Medio alto,Medio alto,Altissima
Wii,Medio,Platform,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
NES,Muito antigo,Shooter,Nintendo,Altissima,Baixo,Baixissimo,Baixissimo,Altissima
DS,Antigo,Simulation,Nintendo,Alta,Alta,Medio,Medio alto,Altissima
DS,Antigo,Racing,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
GB,Muito antigo,Role-Playing,Nintendo,Alta,Alta,Alta,Baixo,Altissima
Wii,Medio,Sports,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
Wii,Medio,Sports,Nintendo,Alta,Alta,Medio alto,Medio,Altissima
X360,Medio,Misc,Microsoft Game Studios,Alta,Medio alto,Baixissimo,Medio,Altissima
PS3,Novo,Action,Take-Two Interactive,Alta,Alta,Baixo,Medio alto,Altissima
PS2,Antigo,Action,Take-Two Interactive,Alta,Baixissimo,Baixissimo,Alta,Altissima
SNES,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio alto,Baixo,Altissima
DS,Antigo,Misc,Nintendo,Medio alto,Alta,Medio alto,Medio,Altissima
DS,Medio,Role-Playing,Nintendo,Alta,Medio alto,Alta,Medio,Alto
GB,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio alto,Baixissimo,Alto
NES,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio alto,Baixissimo,Alto
X360,Novo,Action,Take-Two Interactive,Alta,Alta,Baixissimo,Medio,Alto
PS2,Antigo,Action,Take-Two Interactive,Alta,Alta,Baixissimo,Medio,Alto
GBA,Antigo,Role-Playing,Nintendo,Alta,Medio alto,Alta,Baixissimo,Alto
DS,Medio,Role-Playing,Nintendo,Alta,Medio alto,Alta,Baixo,Alto
DS,Antigo,Puzzle,Nintendo,Medio alto,Alta,Alta,Medio,Alto
PS2,Antigo,Racing,Sony Computer Entertainment,Alta,Alta,Medio,Medio,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
GB,Muito antigo,Role-Playing,Nintendo,Alta,Alta,Medio alto,Baixo,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
3DS,Novo,Role-Playing,Nintendo,Alta,Medio alto,Medio alto,Baixo,Alto
PS4,Novo,Shooter,Activision,Alta,Alta,Baixissimo,Medio,Alto
PS3,Medio,Shooter,Activision,Medio alto,Alta,Baixo,Medio alto,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
X360,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
PS3,Medio,Shooter,Activision,Alta,Alta,Baixissimo,Medio,Alto
PS2,Antigo,Action,Take-Two Interactive,Alta,Medio alto,Baixissimo,Medio,Alto
Wii,Medio,Fighting,Nintendo,Alta,Medio alto,Medio alto,Medio,Alto
PS3,Medio,Shooter,Activision,Alta,Medio alto,Baixissimo,Medio,Alto
DS,Antigo,Simulation,Nintendo,Medio alto,Medio alto,Alta,Baixo,Alto
3DS,Medio,Racing,Nintendo,Medio alto,Medio alto,Medio alto,Baixo,Alto
X360,Medio,Shooter,Microsoft Game Studios,Alta,Medio alto,Baixissimo,Medio,Alto
PS4,Novo,Action,Take-Two Interactive,Medio alto,Alta,Baixissimo,Medio,Alto
DS,Medio,Action,Nintendo,Medio alto,Medio alto,Medio alto,Baixo,Alto
N64,Muito antigo,Platform,Nintendo,Alta,Medio alto,Medio,Baixissimo,Alto
PS2,Antigo,Racing,Sony Computer Entertainment,Medio alto,Baixissimo,Medio,Alta,Alto
Wii,Medio,Platform,Nintendo,Alta,Medio alto,Medio,Baixo,Alto
3DS,Novo,Role-Playing,Nintendo,Medio alto,Medio alto,Medio alto,Baixo,Alto
GB,Muito antigo,Adventure,Nintendo,Alta,Medio,Medio alto,Baixissimo,Alto
X360,Medio,Action,Take-Two Interactive,Alta,Medio alto,Baixissimo,Medio,Alto
PS,Muito antigo,Racing,Sony Computer Entertainment,Medio alto,Medio alto,Medio alto,Baixo,Alto
3DS,Medio,Platform,Nintendo,Medio alto,Medio alto,Medio,Baixo,Alto
PS3,Medio,Racing,Sony Computer Entertainment,Medio alto,Medio alto,Baixo,Medio,Alto
PS3,Medio,Shooter,Activision,Medio alto,Medio alto,Baixissimo,Medio,Alto
PS3,Medio,Action,Take-Two Interactive,Medio alto,Medio alto,Baixissimo,Medio,Alto
SNES,Muito antigo,Platform,Nintendo,Alta,Medio,Medio,Baixissimo,Alto
GBA,Antigo,Role-Playing,Nintendo,Medio alto,Medio alto,Medio alto,Baixissimo,Alto
DS,Antigo,Platform,Nintendo,Alta,Medio alto,Medio,Baixo,Alto
Wii,Medio,Misc,Ubisoft,Alta,Medio alto,Baixissimo,Medio,Alto
X360,Novo,Shooter,Activision,Alta,Medio alto,Baixissimo,Baixo,Alto
X360,Medio,Shooter,Microsoft Game Studios,Alta,Medio,Baixissimo,Baixo,Medio alto
N64,Muito antigo,Racing,Nintendo,Alta,Medio,Medio,Baixissimo,Medio alto
3DS,Medio,Platform,Nintendo,Medio alto,Medio alto,Medio,Baixo,Medio alto
X360,Medio,Shooter,Microsoft Game Studios,Alta,Medio,Baixissimo,Baixo,Medio alto
PS,Muito antigo,Role-Playing,Sony Computer Entertainment,Medio alto,Medio,Medio alto,Baixo,Medio alto
PS3,Novo,Shooter,Activision,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
Wii,Medio,Misc,Ubisoft,Alta,Medio alto,Baixissimo,Baixo,Medio alto
PS,Muito antigo,Racing,Sony Computer Entertainment,Medio alto,Medio alto,Medio,Baixissimo,Medio alto
X360,Medio,Shooter,Activision,Alta,Medio,Baixissimo,Baixo,Medio alto
SNES,Muito antigo,Platform,Nintendo,Medio alto,Medio,Medio alto,Baixissimo,Medio alto
X360,Novo,Misc,Microsoft Game Studios,Alta,Medio alto,Baixissimo,Baixo,Medio alto
3DS,Medio,Simulation,Nintendo,Medio,Medio,Medio alto,Baixissimo,Medio alto
DS,Medio,Misc,Nintendo,Medio alto,Medio,Medio,Baixo,Medio alto
X360,Medio,Role-Playing,Bethesda Softworks,Alta,Medio alto,Baixissimo,Baixo,Medio alto
SNES,Muito antigo,Racing,Nintendo,Medio alto,Medio,Medio alto,Baixissimo,Medio alto
PS4,Novo,Sports,Electronic Arts,Medio,Alta,Baixissimo,Medio,Medio alto
Wii,Medio,Misc,Nintendo,Medio,Medio alto,Medio,Baixo,Medio alto
XB,Antigo,Shooter,Microsoft Game Studios,Alta,Medio,Baixissimo,Baixissimo,Medio alto
Wii,Medio,Misc,Nintendo,Medio alto,Medio,Medio,Baixo,Medio alto
DS,Medio,Role-Playing,Nintendo,Medio alto,Medio,Medio alto,Baixissimo,Medio alto
PS3,Medio,Action,Electronic Arts,Medio,Alta,Baixissimo,Medio,Medio alto
PC,Medio,Simulation,Electronic Arts,Baixo,Alta,Baixissimo,Baixo,Medio alto
N64,Muito antigo,Shooter,Nintendo,Alta,Medio,Baixissimo,Baixissimo,Medio alto
Wii,Medio,Sports,Sega,Medio alto,Medio alto,Baixo,Baixo,Medio alto
PS2,Antigo,Role-Playing,Sony Computer Entertainment,Medio alto,Medio,Medio alto,Baixissimo,Medio alto
PS,Muito antigo,Role-Playing,SquareSoft,Medio,Medio,Medio alto,Baixissimo,Medio alto
DS,Medio,Role-Playing,Nintendo,Medio alto,Medio,Medio alto,Baixo,Medio alto
?,Muito antigo,Puzzle,Atari,Alta,Baixissimo,Baixissimo,Baixissimo,Medio alto
PSP,Antigo,Action,Take-Two Interactive,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
Wii,Medio,Platform,Nintendo,Medio alto,Medio,Baixo,Baixo,Medio alto
PS4,Novo,Shooter,Electronic Arts,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
PS4,Novo,Shooter,Activision,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
N64,Muito antigo,Action,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
PS,Muito antigo,Platform,Sony Computer Entertainment,Medio alto,Medio,Medio,Baixissimo,Medio alto
NES,Muito antigo,Platform,Nintendo,Alta,Medio,Baixo,Baixissimo,Medio alto
3DS,Novo,Fighting,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
X360,Medio,Shooter,Activision,Medio alto,Medio,Baixissimo,Baixo,Medio alto
X360,Medio,Shooter,Electronic Arts,Medio alto,Medio,Baixissimo,Baixo,Medio alto
Wii,Medio,Action,Nintendo,Medio alto,Medio,Baixo,Baixo,Medio alto
XOne,Novo,Shooter,Activision,Medio alto,Medio,Baixissimo,Baixo,Medio alto
Wii,Medio,Misc,Ubisoft,Medio alto,Medio alto,Baixissimo,Baixo,Medio alto
PS3,Medio,Shooter,Electronic Arts,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
PS2,Antigo,Racing,Electronic Arts,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
PS,Muito antigo,Fighting,Sony Computer Entertainment,Medio alto,Medio,Medio,Baixissimo,Medio alto
PS,Muito antigo,Platform,Sony Computer Entertainment,Medio alto,Medio,Medio,Baixissimo,Medio alto
GC,Antigo,Fighting,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
WiiU,Novo,Racing,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
PS4,Novo,Role-Playing,Bethesda Softworks,Medio,Medio alto,Baixissimo,Medio,Medio alto
GC,Antigo,Racing,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
Wii,Medio,Misc,Ubisoft,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS3,Novo,Sports,Electronic Arts,Baixo,Medio alto,Baixissimo,Medio,Medio alto
PS2,Antigo,Racing,Electronic Arts,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
PS2,Antigo,Shooter,Electronic Arts,Medio alto,Medio alto,Baixissimo,Baixo,Medio alto
PS3,Medio,Action,Sony Computer Entertainment,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
PS,Muito antigo,Platform,Sony Computer Entertainment,Medio alto,Medio,Baixo,Baixissimo,Medio alto
Wii,Medio,Sports,505 Games,Medio alto,Medio alto,Baixissimo,Baixo,Medio alto
X360,Medio,Shooter,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS3,Medio,Action,Sony Computer Entertainment,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS3,Medio,Shooter,Activision,Medio alto,Medio,Baixissimo,Medio,Medio alto
PS3,Medio,Sports,Electronic Arts,Baixo,Medio alto,Baixissimo,Medio,Medio alto
DS,Antigo,Misc,Nintendo,Medio,Medio alto,Medio,Baixo,Medio alto
PS3,Medio,Action,Take-Two Interactive,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
PS4,Novo,Sports,Electronic Arts,Baixo,Medio alto,Baixissimo,Medio,Medio alto
Wii,Medio,Platform,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
PS3,Medio,Role-Playing,Bethesda Softworks,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
NES,Muito antigo,Action,Nintendo,Medio alto,Baixo,Medio,Baixissimo,Medio alto
PS3,Medio,Action,Ubisoft,Medio alto,Medio alto,Baixissimo,Medio,Medio alto
XB,Antigo,Shooter,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
GBA,Antigo,Role-Playing,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
PS2,Antigo,Role-Playing,Sony Computer Entertainment,Medio alto,Medio,Medio,Baixissimo,Medio alto
GB,Antigo,Role-Playing,Nintendo,Medio alto,Medio,Medio,Baixo,Medio alto
X360,Medio,Shooter,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixo,Medio alto
X360,Medio,Action,Take-Two Interactive,Medio alto,Medio,Baixissimo,Baixo,Medio alto
GC,Antigo,Platform,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
SNES,Muito antigo,Fighting,Capcom,Medio,Baixo,Medio alto,Baixissimo,Medio alto
PC,Antigo,Role-Playing,Activision,Baixissimo,Alta,Baixissimo,Baixissimo,Medio alto
PS,Muito antigo,Action,GT Interactive,Medio alto,Medio alto,Baixissimo,Baixissimo,Medio alto
X360,Medio,Sports,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixo,Medio alto
X360,Medio,Shooter,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
X360,Medio,Shooter,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS2,Antigo,Action,Konami Digital Entertainment,Medio,Medio,Baixo,Baixo,Medio alto
GEN,Muito antigo,Platform,Sega,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PS3,Medio,Action,Konami Digital Entertainment,Medio alto,Medio,Baixo,Baixo,Medio alto
PS,Muito antigo,Action,Konami Digital Entertainment,Medio alto,Medio,Baixo,Baixissimo,Medio alto
PS3,Novo,Action,Sony Computer Entertainment Europe,Medio,Medio,Baixissimo,Medio,Medio alto
PS2,Medio,Role-Playing,Square Enix,Medio,Baixissimo,Medio,Medio,Medio alto
PS3,Medio,Platform,Sony Computer Entertainment,Medio alto,Medio,Baixissimo,Baixo,Medio alto
DS,Medio,Role-Playing,Nintendo,Baixo,Baixo,Medio alto,Baixissimo,Medio alto
Wii,Medio,Action,LucasArts,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS,Muito antigo,Action,Virgin Interactive,Medio,Medio,Medio,Baixissimo,Medio alto
PS,Muito antigo,Fighting,Sony Computer Entertainment,Medio,Medio,Medio,Baixissimo,Medio alto
DS,Medio,Simulation,505 Games,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS4,Novo,Shooter,Activision,Medio,Medio,Baixissimo,Baixo,Medio alto
NES,Muito antigo,Puzzle,Nintendo,Medio alto,Baixo,Medio,Baixissimo,Medio alto
PS3,Medio,Action,Ubisoft,Medio alto,Medio,Baixissimo,Baixo,Medio alto
N64,Muito antigo,Fighting,Nintendo,Medio alto,Baixo,Medio,Baixissimo,Medio alto
X360,Medio,Adventure,Ubisoft,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS3,Medio,Action,Warner Bros Interactive Entertainment,Medio alto,Medio,Baixissimo,Baixo,Medio alto
X360,Medio,Racing,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PSP,Medio,Role-Playing,Capcom,Baixissimo,Baixo,Medio alto,Baixissimo,Medio alto
GBA,Antigo,Platform,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
GBA,Antigo,Racing,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
GBA,Antigo,Platform,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
N64,Muito antigo,Strategy,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
PS3,Medio,Shooter,Activision,Medio alto,Medio,Baixissimo,Baixo,Medio alto
PS2,Antigo,Platform,Universal Interactive,Medio,Medio,Baixissimo,Baixo,Medio alto
PS3,Novo,Misc,Sony Computer Entertainment,Medio,Medio alto,Baixissimo,Baixo,Medio alto
PS3,Medio,Role-Playing,Square Enix,Medio,Medio,Medio,Baixo,Medio alto
GB,Muito antigo,Puzzle,Nintendo,Medio,Baixo,Medio,Baixissimo,Medio alto
GB,Muito antigo,Misc,Nintendo,Medio alto,Medio,Medio,Baixissimo,Medio alto
X360,Medio,Action,Ubisoft,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PS,Antigo,Role-Playing,SquareSoft,Medio,Baixo,Medio alto,Baixissimo,Medio alto
PS2,Antigo,Role-Playing,Electronic Arts,Medio,Medio,Medio,Baixissimo,Medio alto
N64,Muito antigo,Platform,Nintendo,Medio alto,Baixo,Medio,Baixissimo,Medio alto
X360,Medio,Action,Ubisoft,Medio alto,Medio,Baixissimo,Baixo,Medio alto
DS,Medio,Puzzle,Nintendo,Medio,Medio,Medio,Baixo,Medio alto
PS,Muito antigo,Action,Eidos Interactive,Medio,Medio,Baixissimo,Baixissimo,Medio alto
PS2,Novo,Sports,Electronic Arts,Medio alto,Baixissimo,Baixissimo,Baixo,Medio alto
PS2,Antigo,Role-Playing,Square Enix,Baixo,Baixo,Medio alto,Baixissimo,Medio alto
PC,Medio,Role-Playing,Activision,Medio,Medio,Baixissimo,Baixo,Medio alto
GBA,Antigo,Platform,Nintendo,Medio alto,Medio,Baixo,Baixissimo,Medio alto
WiiU,Medio,Platform,Nintendo,Medio,Medio,Medio,Baixissimo,Medio alto
GB,Muito antigo,Platform,Nintendo,Medio,Baixo,Medio,Baixissimo,Medio alto
X360,Medio,Action,Electronic Arts,Medio,Medio alto,Baixissimo,Baixo,Medio alto
DS,Medio,Action,Nintendo,Medio,Medio,Baixo,Baixissimo,Medio alto
SNES,Muito antigo,Platform,Nintendo,Medio,Baixo,Medio,Baixissimo,Medio alto
3DS,Novo,Simulation,Nintendo,Baixo,Medio,Medio,Baixissimo,Medio alto
DS,Medio,Sports,Sega,Medio,Medio,Baixissimo,Baixo,Medio alto
PS2,Antigo,Shooter,Electronic Arts,Medio,Medio,Baixissimo,Baixo,Medio alto
GB,Muito antigo,Platform,Nintendo,Medio alto,Baixo,Medio,Baixissimo,Medio alto
X360,Medio,Role-Playing,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
XOne,Novo,Shooter,Activision,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PC,Muito antigo,Simulation,Microsoft Game Studios,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PS2,Medio,Misc,RedOctane,Medio alto,Baixo,Baixissimo,Baixo,Medio alto
PS3,Medio,Action,Capcom,Medio,Medio,Medio,Baixo,Medio alto
XOne,Novo,Action,Take-Two Interactive,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PSP,Medio,Action,Take-Two Interactive,Medio,Medio,Baixissimo,Medio,Medio alto
PS3,Medio,Sports,Electronic Arts,Baixo,Medio alto,Baixissimo,Medio,Medio alto
GB,Muito antigo,Platform,Nintendo,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PS,Muito antigo,Action,Virgin Interactive,Medio,Medio,Medio,Baixo,Medio alto
PS,Muito antigo,Sports,Activision,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
WiiU,Novo,Fighting,Nintendo,Medio alto,Medio,Baixo,Baixo,Medio alto
PS,Muito antigo,Strategy,Eidos Interactive,Medio alto,Medio,Baixissimo,Baixissimo,Medio alto
PS,Muito antigo,Platform,Sony Computer Entertainment,Medio alto,Medio,Baixissimo,Baixissimo,Medio
Wii,Medio,Shooter,Nintendo,Medio alto,Medio,Baixissimo,Baixissimo,Medio
PS2,Medio,Misc,Activision,Medio alto,Baixissimo,Baixissimo,Medio,Medio
X360,Medio,Role-Playing,Bethesda Softworks,Medio alto,Medio,Baixissimo,Baixissimo,Medio
DS,Medio,Role-Playing,Nintendo,Medio,Medio,Medio,Baixissimo,Medio
PS3,Medio,Action,Sony Computer Entertainment,Medio,Medio,Baixissimo,Baixo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio alto,Baixissimo,Baixissimo,Baixo,Medio
DS,Medio,Action,LucasArts,Medio alto,Medio,Baixissimo,Baixissimo,Medio
N64,Muito antigo,Racing,Nintendo,Medio alto,Baixo,Baixo,Baixissimo,Medio
PSP,Medio,Role-Playing,Capcom,Baixissimo,Baixissimo,Medio alto,Baixissimo,Medio
NES,Muito antigo,Puzzle,Nintendo,Medio alto,Baixo,Medio,Baixissimo,Medio
PS3,Medio,Action,Sony Computer Entertainment,Medio alto,Medio,Baixissimo,Baixo,Medio
PC,Medio,Strategy,Activision,Medio alto,Medio,Baixissimo,Baixo,Medio
PS3,Medio,Adventure,Ubisoft,Medio,Medio,Baixissimo,Baixo,Medio
PS3,Novo,Sports,Electronic Arts,Baixo,Medio alto,Baixissimo,Medio,Medio
PS,Muito antigo,Racing,Sony Computer Entertainment,Medio alto,Medio,Baixissimo,Baixissimo,Medio
PS4,Novo,Sports,Electronic Arts,Baixissimo,Medio alto,Baixissimo,Baixo,Medio
X360,Medio,Action,Warner Bros Interactive Entertainment,Medio alto,Medio,Baixissimo,Baixissimo,Medio
PS,Antigo,Action,Atari,Medio,Medio,Baixissimo,Baixissimo,Medio
PS2,Antigo,Racing,Vivendi Games,Medio,Medio,Baixissimo,Baixo,Medio
PS,Antigo,Sports,Activision,Medio alto,Medio,Baixissimo,Baixissimo,Medio
Wii,Medio,Simulation,Nintendo,Medio,Medio,Medio,Baixissimo,Medio
PS2,Antigo,Action,Electronic Arts,Medio,Medio,Baixissimo,Baixo,Medio
X360,Medio,Racing,Microsoft Game Studios,Medio,Medio,Baixissimo,Baixissimo,Medio
PS,Muito antigo,Action,Eidos Interactive,Medio,Medio,Baixissimo,Baixissimo,Medio
Wii,Medio,Misc,Activision,Medio alto,Medio,Baixissimo,Baixissimo,Medio
SNES,Muito antigo,Action,Nintendo,Medio,Baixo,Medio,Baixissimo,Medio
GC,Antigo,Action,Nintendo,Medio alto,Baixo,Baixo,Baixissimo,Medio
Wii,Medio,Sports,Sega,Medio,Medio,Baixissimo,Baixissimo,Medio
3DS,Novo,Action,Nintendo,Medio,Medio,Medio,Baixissimo,Medio
WiiU,Novo,Shooter,Nintendo,Medio,Medio,Medio,Baixissimo,Medio
PS4,Novo,Action,Sony Computer Entertainment,Medio,Medio,Baixissimo,Baixo,Medio
X360,Medio,Misc,Activision,Medio alto,Baixo,Baixissimo,Baixissimo,Medio
PS2,Antigo,Sports,Electronic Arts,Medio alto,Baixissimo,Baixissimo,Baixissimo,Medio
?,Muito antigo,Platform,Activision,Medio alto,Baixissimo,Baixissimo,Baixissimo,Medio
PS2,Medio,Sports,Electronic Arts,Medio alto,Baixissimo,Baixissimo,Baixo,Medio
PS2,Antigo,Action,Activision,Medio alto,Medio,Baixissimo,Baixissimo,Medio
PS,Antigo,Role-Playing,Enix Corporation,Baixissimo,Baixissimo,Medio alto,Baixissimo,Medio
PS4,Novo,Action,Sony Computer Entertainment,Medio,Medio,Baixissimo,Baixo,Medio
PS3,Novo,Shooter,Activision,Medio,Medio,Baixissimo,Baixo,Medio
